date,day_of_week,episode_number,week,day_in_week,phase,week_title,academic_focus,fixed_events,weekly_event_anchors,arc_turn,narrative_beat,continuity_handoff
2025-08-01,Friday,1,1,1,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",Quantitative Summer Bridge begins,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.",Malik arrives early for Summer Bridge and finds a mistake in the budget he promised his family was finished.,
2025-08-02,Saturday,2,1,2,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.","Nia asks to share his table, jokes about the spreadsheet, and recognizes the fear beneath his precision.",
2025-08-03,Sunday,3,1,3,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.",A diagnostic modeling task pairs them; Malik wants clean columns while Nia draws the situation before calculating.,
2025-08-04,Monday,4,1,4,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.","Dr. Brooks asks each student why mathematics matters, and Malik and Nia give answers rooted in family and service.",
2025-08-05,Tuesday,5,1,5,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.","Their campus tour establishes Eliza Moss Hall, Jubilee Library, North Star Learning Commons, and Founders' Bell.",
2025-08-06,Wednesday,6,1,6,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.","At Indigo Night, Nia meets band saxophonist Julian Cross while Malik signs up for the Heron Analytics information session.",
2025-08-07,Thursday,7,1,7,summer_bridge,Two Kinds of Plans,"Algebra readiness, functions, data tables, and explicit assumptions",,Quantitative Summer Bridge opens | First campus tour | Indigo Night welcome event,"Malik and Nia meet, clash over method, and discover that their strengths fit together.",Malik and Nia present a repaired budget model together and agree to be accountability partners for the year.,"Nia accepts Julian's invitation to the campus radio showcase, and Malik notices that the news disappoints him."
2025-08-08,Friday,8,2,1,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,Nia catches Julian's radio segment about first-year fears and agrees to help him fact-check a math joke.,
2025-08-09,Saturday,9,2,2,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,Malik attends the Heron Analytics orientation and learns that first-years must test into the competitive team.,
2025-08-10,Sunday,10,2,3,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,A domain-and-range exercise exposes how quickly Malik discards messy real-world cases that Nia insists matter.,
2025-08-11,Monday,11,2,4,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,"Julian invites Nia to hear the Marching Herons rehearse, and she says yes before checking her crowded schedule.",
2025-08-12,Tuesday,12,2,5,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,"Malik tells DJ Cole, his future roommate, that he is interested in the analytics challenge, not in Nia.",
2025-08-13,Wednesday,13,2,6,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,"At band rehearsal, Nia sees Julian's discipline beneath his public confidence and shares why she chose math.",
2025-08-14,Thursday,14,2,7,summer_bridge,The Shape of an Invitation,"Function notation, domain, range, graph interpretation, and model limitations",,Campus radio showcase | Heron Analytics orientation | Bridge faculty lunch,Nia and Julian begin a flirtation while Malik chooses a difficult extracurricular goal of his own.,"Nia tells Malik the evening felt like a date; he responds kindly, then stays late preparing for the analytics test.","Move-in week will put the new friendship, the new attraction, and Malik's competitive ambition in the same small orbit."
2025-08-15,Friday,15,3,1,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.","Malik moves in with DJ, whose football schedule and easy sociability immediately disrupt Malik's ideal room plan.",
2025-08-16,Saturday,16,3,2,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.","Nia meets roommate Keisha Morgan, a computer science student and sprinter who refuses to let Nia join six clubs in one afternoon.",
2025-08-17,Sunday,17,3,3,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.",The Bridge capstone asks Malik and Nia to model shuttle demand during move-in; their first draft ignores accessibility needs.,
2025-08-18,Monday,18,3,4,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",Residence halls open,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.","They interview students instead of defending the model, and the revised assumptions change both the mathematics and the route plan.",
2025-08-19,Tuesday,19,3,5,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.",Julian films their capstone for campus media and invites Nia to the Heritage Kickoff after the first week of classes.,
2025-08-20,Wednesday,20,3,6,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.",Malik takes the Heron Analytics screening test and leaves certain that one probability question ruined his chances.,
2025-08-21,Thursday,21,3,7,move_in,"Rooms, Rules, and First Impressions","Bridge capstone modeling, unit analysis, and communicating a result to a nontechnical audience",Opening Convocation,Residence halls open | Bridge capstone | Opening Convocation,"The core supporting cast forms, and Malik learns that competence does not automatically make him a good teammate.","At Opening Convocation, the Founders' Bell rings as the four friends cross Cypress Walk toward the official start of the year.","Classes begin, Julian's invitation becomes a real date, and Malik waits for an analytics decision he cannot control."
